field,average_adjacent,stdev_adjacent,sensor,date
AES,0.18895114792717826,0.005697347051128486,2,2014-05-14
AES,0.18128055665228102,0.004075703503663788,1,2014-05-14
AES,0.18904309471448263,0.01199009566676093,11,2014-05-14
AES,0.19548965990543365,0.011013797784450604,10,2014-05-14
AES,0.26259173783991074,0.03227776408004116,3,2014-05-14
AES,0.15908506512641907,0.010365418958910421,4,2014-05-14
AES,0.18293888204627567,0.00726267282188612,9,2014-05-14
AES,0.19875425928168827,0.008127390950889062,12,2014-05-14
AES,0.17380942073133257,0.006415362215144104,8,2014-05-14
AES,0.232672072119183,0.020918647336822617,5,2014-05-14
AES,0.22720575001504686,0.010812809286552047,6,2014-05-14
AES,0.19085735910468632,0.011940510394229983,7,2014-05-14
AES,NA,NA,2,2015-05-02
AES,NA,NA,1,2015-05-02
AES,NA,NA,11,2015-05-02
AES,NA,NA,10,2015-05-02
AES,NA,NA,3,2015-05-02
AES,NA,NA,4,2015-05-02
AES,NA,NA,9,2015-05-02
AES,NA,NA,12,2015-05-02
AES,NA,NA,8,2015-05-02
AES,NA,NA,5,2015-05-02
AES,NA,NA,6,2015-05-02
AES,NA,NA,7,2015-05-02
AES,0.4830491542816162,0.021820859121738333,2,2013-06-15
AES,0.36046261919869316,0.01685304810763011,1,2013-06-15
AES,0.4386904968155755,0.012111933573416753,11,2013-06-15
AES,0.4655162923865848,0.04119302850984709,10,2013-06-15
AES,0.4045727584097121,0.011380505803087545,3,2013-06-15
AES,0.2748814390765296,0.021797407124085167,4,2013-06-15
AES,0.3085576792558034,0.03236672758748318,9,2013-06-15
AES,0.5656551784939237,0.016233978433154456,12,2013-06-15
AES,0.32367636097802055,0.016469545125489697,8,2013-06-15
AES,0.4486591054333581,0.011650707820297104,5,2013-06-15
AES,0.4934256606631809,0.008864087046128663,6,2013-06-15
AES,0.37477636999554104,0.036154324221294803,7,2013-06-15
AES,0.52636961473359,0.03741481631813489,2,2014-06-19
AES,0.41733888122770524,0.020512320815432087,1,2014-06-19
AES,0.42714642153845894,0.014822934367026874,11,2014-06-19
AES,0.42340618040826583,0.03890185694071857,10,2014-06-19
AES,0.4956155452463362,0.036292268147399144,3,2014-06-19
AES,0.2892226063542896,0.0415053898468763,4,2014-06-19
AES,0.36381152272224426,0.03416765191707952,9,2014-06-19
AES,0.5126080281204648,0.01777429549502271,12,2014-06-19
AES,0.2847067581282722,0.019532812240940077,8,2014-06-19
AES,0.5160680943065219,0.02053896655278456,5,2014-06-19
AES,0.512256039513482,0.0325077687609008,6,2014-06-19
AES,0.423638039165073,0.023317112318629374,7,2014-06-19
AES,0.3299175633324517,0.0292394589144677,2,2015-06-19
AES,0.2861226664649116,0.011420688354998194,1,2015-06-19
AES,0.4929599165916443,0.014711250030775159,11,2015-06-19
AES,0.4198983907699585,0.04767882682574623,10,2015-06-19
AES,0.5484045876397027,0.010715737041543775,3,2015-06-19
AES,0.26281459463967216,0.021833955576831997,4,2015-06-19
AES,0.45285183522436356,0.012976211028245553,9,2015-06-19
AES,0.47635800970925224,0.01360387189827191,12,2015-06-19
AES,0.24739974074893528,0.036972134410969346,8,2015-06-19
AES,0.5012980136606429,0.014522984960098644,5,2015-06-19
AES,0.4529274602731069,0.04675293879320572,6,2015-06-19
AES,0.49456893073187935,0.015273268397274189,7,2015-06-19
AES,0.5866358743773566,0.02336089161955435,2,2012-06-25
AES,0.5445650021235148,0.010539194851478728,1,2012-06-25
AES,0.5662364032533433,0.024052639158921387,11,2012-06-25
AES,0.5736973153220283,0.015614607643111922,10,2012-06-25
AES,0.535389264424642,0.012256801544186617,3,2012-06-25
AES,0.47281579507721794,0.03322158679994854,4,2012-06-25
AES,0.5707438389460245,0.015134623507514603,9,2012-06-25
AES,0.5026116867860159,0.016112530895451952,12,2012-06-25
AES,0.4342923429277208,0.02164083076860593,8,2012-06-25
AES,0.5065877669387393,0.01879856924105346,5,2012-06-25
AES,0.48681782682736713,0.031405055613752286,6,2012-06-25
AES,0.5267189343770345,0.007762059394788249,7,2012-06-25
AES,0.5953017738130357,0.026883452239851294,2,2012-06-25
AES,0.5445650021235148,0.010539194851478728,1,2012-06-25
AES,0.5662364032533433,0.024052639158921387,11,2012-06-25
AES,0.5736973153220283,0.015614607643111922,10,2012-06-25
AES,0.5402613878250122,0.016037670533845014,3,2012-06-25
AES,0.42578601506021285,0.029755916709845807,4,2012-06-25
AES,0.5707438389460245,0.015134623507514603,9,2012-06-25
AES,0.5026116867860159,0.016112530895451952,12,2012-06-25
AES,0.4342923429277208,0.02164083076860593,8,2012-06-25
AES,0.5065877669387393,0.01879856924105346,5,2012-06-25
AES,0.48681782682736713,0.031405055613752286,6,2012-06-25
AES,0.5267189343770345,0.007762059394788249,7,2012-06-25
AES,0.1396401988135444,0.00607627879453126,2,2011-06-26
AES,0.1554937975274192,0.011131554191103048,1,2011-06-26
AES,0.4195233815246158,0.01233657377408703,11,2011-06-26
AES,0.5119012064403958,0.02754199271482403,10,2011-06-26
AES,0.5072803033722771,0.016727806200442997,3,2011-06-26
AES,0.1545055458943049,0.01625094423259933,4,2011-06-26
AES,0.36651793122291565,0.04895833792129437,9,2011-06-26
AES,0.5302155481444465,0.008684059688706053,12,2011-06-26
AES,0.38003771172629464,0.0175997001630199,8,2011-06-26
AES,0.5573291314972771,0.006445385491176164,5,2011-06-26
AES,0.5033826861116621,0.013904126254557928,6,2011-06-26
AES,0.4855920970439911,0.014694897487682927,7,2011-06-26
AES,0.22626875009801653,0.006199967695247447,2,2015-06-28
AES,0.232057210471895,0.009613753376619665,1,2015-06-28
AES,0.2738308740986718,0.015292717471981321,11,2015-06-28
AES,0.22514116101794773,0.013419676737146927,10,2015-06-28
AES,0.3864428632789188,0.018317264160739682,3,2015-06-28
AES,0.22204958564705318,0.01542805691029636,4,2015-06-28
AES,0.2845257023970286,0.01490744001270117,9,2015-06-28
AES,0.2594205008612739,0.0115436544625406,12,2015-06-28
AES,0.19637820621331534,0.0065192609080282704,8,2015-06-28
AES,0.3087562554412418,0.021324756715012085,5,2015-06-28
AES,0.28975355956289506,0.026507924975815424,6,2015-06-28
AES,0.331413918071323,0.03443450161860078,7,2015-06-28
AES,0.5457414024406009,0.02766180230769819,2,2013-06-29
AES,0.3946305811405182,0.024979660574341797,1,2013-06-29
AES,0.5498336950937907,0.024461528837012685,11,2013-06-29
AES,0.5211973422103457,0.06410141785339231,10,2013-06-29
AES,0.47175759077072144,0.02381831067727559,3,2013-06-29
AES,0.25477633542484707,0.030424323169033454,4,2013-06-29
AES,0.4256385962168376,0.06334382093317023,9,2013-06-29
AES,0.6647473838594224,0.015009751783869077,12,2013-06-29
AES,0.30705970856878495,0.020859956682274153,8,2013-06-29
AES,0.562218083275689,0.017768466111953624,5,2013-06-29
AES,0.5655365056461759,0.025235054000997407,6,2013-06-29
AES,0.5472328662872314,0.05274387368369667,7,2013-06-29
AES,0.4410454332828522,0.040434384603917406,2,2014-06-04
AES,0.3576814466052585,0.014585856068226473,1,2014-06-04
AES,0.3257017400529649,0.009539517679368453,11,2014-06-04
AES,0.33902539478407967,0.023549763336327714,10,2014-06-04
AES,0.4348328676488664,0.0331403707682631,3,2014-06-04
AES,0.2975471185313331,0.03678695140273236,4,2014-06-04
AES,0.29485295878516304,0.018017103482334665,9,2014-06-04
AES,0.4407570991251204,0.018916825292636406,12,2014-06-04
AES,0.27177176541752285,0.009266537867299522,8,2014-06-04
AES,0.42995305193795097,0.023721584686879533,5,2014-06-04
AES,0.42829101615481907,0.023138988660603578,6,2014-06-04
AES,0.34588663114441764,0.029690533316292306,7,2014-06-04
AES,0.5062946644094255,0.014169180947537408,2,2015-06-05
AES,0.5292742782168918,0.011209555274102521,1,2015-06-05
AES,0.5661789112620883,0.01653347222146546,11,2015-06-05
AES,0.5773908297220866,0.018840834282445998,10,2015-06-05
AES,0.6284957594341702,0.01999778367724972,3,2015-06-05
AES,0.40034059352344936,0.06090823714697238,4,2015-06-05
AES,0.4757871992058224,0.030284049580712312,9,2015-06-05
AES,0.5664625962575277,0.01168678181446427,12,2015-06-05
AES,0.43956245647536385,0.014499965456651668,8,2015-06-05
AES,0.603002303176456,0.014633294325809752,5,2015-06-05
AES,0.6051128440433078,0.013143533913905808,6,2015-06-05
AES,0.524587502082189,0.020525794340595788,7,2015-06-05
AES,0.4978362222512563,0.016958909269165223,2,2015-06-05
AES,0.5292742782168918,0.011209555274102521,1,2015-06-05
AES,0.5661789112620883,0.01653347222146546,11,2015-06-05
AES,0.5773908297220866,0.018840834282445998,10,2015-06-05
AES,0.6300622688399421,0.017351208042622523,3,2015-06-05
AES,0.32801201277308994,0.05583374090171715,4,2015-06-05
AES,0.4757871992058224,0.030284049580712312,9,2015-06-05
AES,0.5664625962575277,0.01168678181446427,12,2015-06-05
AES,0.43956245647536385,0.014499965456651668,8,2015-06-05
AES,0.603002303176456,0.014633294325809752,5,2015-06-05
AES,0.6051128440433078,0.013143533913905808,6,2015-06-05
AES,0.524587502082189,0.020525794340595788,7,2015-06-05
AES,0.4620000720024109,0.04787252147740297,2,2013-06-08
AES,0.3614940047264099,0.025169937768321302,1,2013-06-08
AES,0.42053213715553284,0.019180656006016587,11,2013-06-08
AES,0.4021255009704166,0.05021110294850679,10,2013-06-08
AES,0.3887442648410797,0.010307032877571254,3,2013-06-08
AES,0.28122951421472764,0.023085263711409357,4,2013-06-08
AES,0.31164635552300346,0.029574223735548993,9,2013-06-08
AES,0.5745440324147543,0.012856567695254504,12,2013-06-08
AES,0.2990844382180108,0.01018052826639376,8,2013-06-08
AES,0.42750750647650826,0.009455143923521585,5,2013-06-08
AES,0.4482119811905755,0.021260733386069246,6,2013-06-08
AES,0.35513871245914036,0.032896227978128495,7,2013-06-08
AES,0.32595659295717877,0.01627741095918304,2,2012-07-13
AES,0.271236346827613,0.006437293632849752,1,2012-07-13
AES,0.3737819525930617,0.012250327702133218,11,2012-07-13
AES,0.3553704453839196,0.016199138504266124,10,2012-07-13
AES,0.4128514164023929,0.007506747514310667,3,2012-07-13
AES,0.25962288346555495,0.018123278830570713,4,2012-07-13
AES,0.39704474475648666,0.007606323116044221,9,2012-07-13
AES,0.36313581466674805,0.006394311718105076,12,2012-07-13
AES,0.2678583131896125,0.011553078568968407,8,2012-07-13
AES,0.3742002844810486,0.006654081114793041,5,2012-07-13
AES,0.37131235665745205,0.0148726489901659,6,2012-07-13
AES,0.3736584252781338,0.028282991202850872,7,2012-07-13
AES,0.17579699556032816,0.0070486682699067585,2,2014-07-25
AES,0.15679824848969778,0.006757409898868697,1,2014-07-25
AES,0.18735678659545052,0.007841894474524621,11,2014-07-25
AES,0.16084687411785126,0.002222489002975493,10,2014-07-25
AES,0.24991325206226772,0.006835222698497696,3,2014-07-25
AES,0.144021890229649,0.008989801292525825,4,2014-07-25
AES,0.19040410386191475,0.016952188385465115,9,2014-07-25
AES,0.1959812260336346,0.014633268419198993,12,2014-07-25
AES,0.13572679460048676,0.006682570064891036,8,2014-07-25
AES,0.21833086013793945,0.008969783315295646,5,2014-07-25
AES,0.227382962902387,0.012050821048657968,6,2014-07-25
AES,0.19142214953899384,0.01475369927040405,7,2014-07-25
AES,0.15053171581692165,0.00632103207416002,2,2013-07-27
AES,0.1431915064652761,0.008162423483937125,1,2013-07-27
AES,0.18185433910952675,0.007960787960307154,11,2013-07-27
AES,0.13777747253576914,0.006197021928856701,10,2013-07-27
AES,0.227236807346344,0.01574087840619713,3,2013-07-27
AES,0.1303449364172088,0.010618679667359476,4,2013-07-27
AES,0.2761223167181015,0.03919345724508058,9,2013-07-27
AES,0.1819086985455619,0.0036284958625024235,12,2013-07-27
AES,0.11915093660354614,0.006163428606463855,8,2013-07-27
AES,0.23627973596254984,0.009574308257742099,5,2013-07-27
AES,0.22987159921063316,0.012461800435304381,6,2013-07-27
AES,0.18604345288541582,0.022790439188536595,7,2013-07-27
AES,0.11766703344053692,0.009335549275251879,2,2011-07-31
AES,0.1286764931347635,0.00656758401475696,1,2011-07-31
AES,0.35226453012890285,0.0057837813322279925,11,2011-07-31
AES,0.29411620398362476,0.04215872392363887,10,2011-07-31
AES,0.5085937778155009,0.01313934541745055,3,2011-07-31
AES,0.12361157768302494,0.006102359430421834,4,2011-07-31
AES,0.35001276930173236,0.022011826671498112,9,2011-07-31
AES,0.44410640332433915,0.012947467118532605,12,2011-07-31
AES,0.16545014745659298,0.012652602254724603,8,2011-07-31
AES,0.4886997209654914,0.009441541908729208,5,2011-07-31
AES,0.4576790862613254,0.02213172353210666,6,2011-07-31
AES,0.27570558918846977,0.014813787217250126,7,2011-07-31
AES,0.5367876688639323,0.020535749361202733,2,2012-07-06
AES,0.4563446011808183,0.006818796061381481,1,2012-07-06
AES,0.5251788761880662,0.01250829997088838,11,2012-07-06
AES,0.5486894382370843,0.006552355997392278,10,2012-07-06
AES,0.5555568734804789,0.011997234970747103,3,2012-07-06
AES,0.39833635754055446,0.011123857758708052,4,2012-07-06
AES,0.5036848220560286,0.013155878407001324,9,2012-07-06
AES,0.5152136385440826,0.018183976132272947,12,2012-07-06
AES,0.4346156848801507,0.022295898233620944,8,2012-07-06
AES,0.5275583068529764,0.013449902058406361,5,2012-07-06
AES,0.4975423879093594,0.020714365556819467,6,2012-07-06
AES,0.5144920415348477,0.010220957156080537,7,2012-07-06
AES,0.501817375421524,0.009825935299442952,2,2013-07-08
AES,0.4362418254216512,0.008819201284304334,1,2013-07-08
AES,0.5443205502298143,0.008133183499106245,11,2013-07-08
AES,0.44770856036080253,0.060392588138290244,10,2013-07-08
AES,0.5126783914036221,0.02666552924564818,3,2013-07-08
AES,0.3552384442753262,0.043958595724952705,4,2013-07-08
AES,0.5145456393559774,0.021624960728768895,9,2013-07-08
AES,0.6287739078203837,0.005157675678879592,12,2013-07-08
AES,0.32422396209504867,0.03474297734693144,8,2013-07-08
AES,0.5563881264792548,0.006455290806377378,5,2013-07-08
AES,0.5539580517345004,0.015895277047542424,6,2013-07-08
AES,0.5355970197253757,0.025868967239605304,7,2013-07-08
AES,0.5095118648476071,0.0115674988974526,2,2013-07-08
AES,0.4362418254216512,0.008819201284304334,1,2013-07-08
AES,0.5443205502298143,0.008133183499106245,11,2013-07-08
AES,0.44770856036080253,0.060392588138290244,10,2013-07-08
AES,0.5292045308483971,0.03377269618440064,3,2013-07-08
AES,0.3032776547802819,0.03325665464422951,4,2013-07-08
AES,0.5145456393559774,0.021624960728768895,9,2013-07-08
AES,0.6287739078203837,0.005157675678879592,12,2013-07-08
AES,0.32422396209504867,0.03474297734693144,8,2013-07-08
AES,0.5563881264792548,0.006455290806377378,5,2013-07-08
AES,0.5539580517345004,0.015895277047542424,6,2013-07-08
AES,0.5355970197253757,0.025868967239605304,7,2013-07-08
AES,0.4301273326079051,0.037304402987315174,2,2014-07-08
AES,0.3112239009804196,0.01956329215544926,1,2014-07-08
AES,0.450882441467709,0.011892044817099458,11,2014-07-08
AES,0.36383988791041905,0.04333025079642254,10,2014-07-08
AES,0.49275336662928265,0.038503627461963,3,2014-07-08
AES,0.20895049969355264,0.026443739790360736,4,2014-07-08
AES,0.3748810291290283,0.031478570752888776,9,2014-07-08
AES,0.4793924291928609,0.023052887360036103,12,2014-07-08
AES,0.2421979026661979,0.03763786143669423,8,2014-07-08
AES,0.48739814427163863,0.02140064364044796,5,2014-07-08
AES,0.4289076096481747,0.0543846325998047,6,2014-07-08
AES,0.42831281820933026,0.011312033227023992,7,2014-07-08
AES,0.40093686514430577,0.057455155452339306,2,2014-07-08
AES,0.3112239009804196,0.01956329215544926,1,2014-07-08
AES,0.450882441467709,0.011892044817099458,11,2014-07-08
AES,0.36383988791041905,0.04333025079642254,10,2014-07-08
AES,0.5278819302717844,0.03672635528292253,3,2014-07-08
AES,0.18673589494493273,0.008856014581477497,4,2014-07-08
AES,0.3748810291290283,0.031478570752888776,9,2014-07-08
AES,0.4793924291928609,0.023052887360036103,12,2014-07-08
AES,0.2421979026661979,0.03763786143669423,8,2014-07-08
AES,0.48739814427163863,0.02140064364044796,5,2014-07-08
AES,0.4289076096481747,0.0543846325998047,6,2014-07-08
AES,0.42831281820933026,0.011312033227023992,7,2014-07-08
AES,0.18861576086945003,0.01075748810970487,2,2015-07-08
AES,0.17778387003474766,0.005230852625242438,1,2015-07-08
AES,0.1692250536547767,0.008643234325021499,11,2015-07-08
AES,0.1659710572825538,0.006514109612220185,10,2015-07-08
AES,0.18770192397965324,0.008644803376726417,3,2015-07-08
AES,0.15341565675205654,0.006462691895176336,4,2015-07-08
AES,0.1777707172764672,0.003698288840484658,9,2015-07-08
AES,0.17256367041005027,0.0070740576951932995,12,2015-07-08
AES,0.15770151052210066,0.005292592339521927,8,2015-07-08
AES,0.17664523422718048,0.005333228752515009,5,2015-07-08
AES,0.17093193199899462,0.002095154403673968,6,2015-07-08
AES,0.1709552374151018,0.0051614234900978955,7,2015-07-08
AES,0.16332811779446071,0.004069874112860825,2,2011-07-09
AES,0.16954917377895778,0.0050994697773639845,1,2011-07-09
AES,0.4772767126560211,0.009747929700683826,11,2011-07-09
AES,0.5127422743373447,0.03487430019248797,10,2011-07-09
AES,0.5738054050339593,0.012254657470133976,3,2011-07-09
AES,0.1576545255051719,0.005353471267944314,4,2011-07-09
AES,0.43158984184265137,0.027693745774419222,9,2011-07-09
AES,0.5763071245617337,0.012150688736438332,12,2011-07-09
AES,0.33473939696947735,0.010315279383711306,8,2011-07-09
AES,0.5917002691162957,0.007930298198223999,5,2011-07-09
AES,0.5806702309184604,0.012080437735492762,6,2011-07-09
AES,0.50070654352506,0.01652638365760507,7,2011-07-09
J,0.11426995529068841,0.0056008710898771035,5,2014-05-30
J,0.12830456097920737,0.010754751563554751,2,2014-05-30
J,0.12553166018591988,0.006632065100061596,4,2014-05-30
J,0.11679104632801479,0.005104294954852886,1,2014-05-30
J,0.12088489118549559,0.003314942713988955,10,2014-05-30
J,0.12781524658203125,0.0072281369957368745,8,2014-05-30
J,0.15661197735203636,0.005777101436854755,9,2014-05-30
J,0.1338518973853853,0.006256676513747494,7,2014-05-30
J,0.13002289169364506,0.007644707882793009,11,2014-05-30
J,0.1531007919046614,0.010709668327792419,6,2014-05-30
J,0.13411209152804482,0.006953419332314667,3,2014-05-30
J,0.13571430577172172,0.008002900013174495,12,2014-05-30
J,0.5002006623480055,0.013938174415001444,5,2013-06-15
J,0.4444870385858748,0.054883717938863284,2,2013-06-15
J,0.5856494704882304,0.016003003315617822,4,2013-06-15
J,0.6477443973223368,0.0026253708704117645,1,2013-06-15
J,0.658038768503401,0.007401039995575906,10,2013-06-15
J,0.6067854762077332,0.006771680493398531,8,2013-06-15
J,0.5648990869522095,0.014728445577668612,9,2013-06-15
J,0.5427936646673415,0.015149261008556578,7,2013-06-15
J,0.5548586580488417,0.018485141914295455,11,2013-06-15
J,0.5031324161423577,0.017362835997555552,6,2013-06-15
J,0.5453185372882419,0.018859293248978493,3,2013-06-15
J,0.5500268075201247,0.012687298244862266,12,2013-06-15
J,0.5082703597015805,0.012178302845235042,5,2015-06-18
J,0.4468790524535709,0.05181089664067741,2,2015-06-18
J,0.5264540049764845,0.007673393776620442,4,2015-06-18
J,0.5360059671931796,0.006765664985185013,1,2015-06-18
J,0.6026912530263265,0.008006322955318192,10,2015-06-18
J,0.49700843956735397,0.004788976988281458,8,2015-06-18
J,0.43967681792047286,0.013991567882068602,9,2015-06-18
J,0.44890246788660687,0.013261681486315116,7,2015-06-18
J,0.4710359175999959,0.0414188149108689,11,2015-06-18
J,0.5630205008718703,0.029747680894716327,6,2015-06-18
J,0.5013070636325412,0.02144921075865351,3,2015-06-18
J,0.518898199001948,0.02750083158878831,12,2015-06-18
J,0.5082703597015805,0.012178302845235042,5,2015-06-18
J,0.4468790524535709,0.05181089664067741,2,2015-06-18
J,0.5264540049764845,0.007673393776620442,4,2015-06-18
J,0.5360059671931796,0.006765664985185013,1,2015-06-18
J,0.6026912530263265,0.008006322955318192,10,2015-06-18
J,0.49700843956735397,0.004788976988281458,8,2015-06-18
J,0.43967681792047286,0.013991567882068602,9,2015-06-18
J,0.44890246788660687,0.013261681486315116,7,2015-06-18
J,0.4710359175999959,0.0414188149108689,11,2015-06-18
J,0.5630205008718703,0.029747680894716327,6,2015-06-18
J,0.5013070636325412,0.02144921075865351,3,2015-06-18
J,0.518898199001948,0.02750083158878831,12,2015-06-18
J,0.18347296118736267,0.014748210114116898,5,2014-06-19
J,0.19327919019593132,0.009459774287658663,2,2014-06-19
J,0.1876510183016459,0.009902951918483489,4,2014-06-19
J,0.19235554999775356,0.008508307021679944,1,2014-06-19
J,0.19318408932950762,0.006944380336211452,10,2014-06-19
J,0.22086355421278211,0.005545784713837551,8,2014-06-19
J,0.2141172538201014,0.008788094968772073,9,2014-06-19
J,0.20482331845495436,0.0075685065255426615,7,2014-06-19
J,0.17978392044703165,0.008090474026173767,11,2014-06-19
J,0.2154506395260493,0.01523568647161371,6,2014-06-19
J,0.22251431312825945,0.006752619956801079,3,2014-06-19
J,0.2206135110722648,0.010101989044618915,12,2014-06-19
J,0.19844699402650198,0.012586414927082483,5,2012-06-25
J,0.21352846754921806,0.004307449670347341,2,2012-06-25
J,0.21419419679376814,0.006970305647017251,4,2012-06-25
J,0.1959531456232071,0.00569826363089069,1,2012-06-25
J,0.18632704350683424,0.004629867427538785,10,2012-06-25
J,0.19324184457461038,0.010350478308543333,8,2012-06-25
J,0.1654598100317849,0.008577100448994176,9,2012-06-25
J,0.2351037777132458,0.009608164198764332,7,2012-06-25
J,0.1962741712729136,0.0246303739011117,11,2012-06-25
J,0.2146066576242447,0.009853012472911402,6,2012-06-25
J,0.21221202777491677,0.010727372445589382,3,2012-06-25
J,0.20091871751679313,0.010737078408308724,12,2012-06-25
J,0.5448156992594401,0.01032081614106247,5,2013-06-29
J,0.44847289721171063,0.0662915305748645,2,2013-06-29
J,0.5959136883417765,0.010895407362463153,4,2013-06-29
J,0.6378892262776693,0.005244436604626639,1,2013-06-29
J,0.6329927444458008,0.009648050630863332,10,2013-06-29
J,0.5810163683361478,0.00550710058746734,8,2013-06-29
J,0.5410614278581407,0.004606629084423389,9,2013-06-29
J,0.5223823686440786,0.011734837535099981,7,2013-06-29
J,0.5824600524372525,0.026583065250438048,11,2013-06-29
J,0.5640485088030497,0.016110405908890166,6,2013-06-29
J,0.5446313685841031,0.013112262148905719,3,2013-06-29
J,0.5534961620966593,0.015975291988456142,12,2013-06-29
J,0.5448156992594401,0.01032081614106247,5,2013-06-29
J,0.44847289721171063,0.0662915305748645,2,2013-06-29
J,0.5959136883417765,0.010895407362463153,4,2013-06-29
J,0.6378892262776693,0.005244436604626639,1,2013-06-29
J,0.6329927444458008,0.009648050630863332,10,2013-06-29
J,0.5810163683361478,0.00550710058746734,8,2013-06-29
J,0.5410614278581407,0.004606629084423389,9,2013-06-29
J,0.5223823686440786,0.011734837535099981,7,2013-06-29
J,0.5824600524372525,0.026583065250438048,11,2013-06-29
J,0.5640485088030497,0.016110405908890166,6,2013-06-29
J,0.5446313685841031,0.013112262148905719,3,2013-06-29
J,0.5534961620966593,0.015975291988456142,12,2013-06-29
J,0.15107407503657871,0.008484421619734324,5,2012-06-04
J,0.17209858198960623,0.005091675816855592,2,2012-06-04
J,0.15871299140983158,0.0067021992729627234,4,2012-06-04
J,0.15075468685891893,0.008153448811287893,1,2012-06-04
J,0.13574332909451592,0.006768193402226497,10,2012-06-04
J,0.14435244434409672,0.004021198217760098,8,2012-06-04
