date,farm,sensor,spad,lai,height,notes
2013-05-15,AES,1,46.2,0.31,21,
2013-05-15,AES,2,45.1,0.45,20,
2013-05-15,AES,3,50.3,0.43,15,
2013-05-15,AES,4,46.1,0.28,20,"lots of weeds, bromos tectorum"
2013-05-15,AES,5,41.3,0.36,16,
2013-05-15,AES,6,51.2,0.8,19,
2013-05-15,AES,7,44.5,0.09,13,weeds south of plot
2013-05-15,AES,8,44.3,0.26,14,
2013-05-15,AES,9,38.4,0.4,13,"lots of weeds, sampled 20 m se of plot"
2013-05-15,AES,10,44.1,0.3,13,
2013-05-15,AES,11,48.9,0.22,15,
2013-05-15,AES,12,43.5,0.47,20,
2013-05-22,AES,1,42.6,1.59,33,
2013-05-22,AES,2,44.9,1.03,37,weeds north of samples
2013-05-22,AES,3,48.1,0.8,18,
2013-05-22,AES,4,42.2,1.21,23,bad weeds
2013-05-22,AES,5,43.9,1.46,23,
2013-05-22,AES,6,41.3,1.38,25,
2013-05-22,AES,7,45.7,0.57,17,
2013-05-22,AES,8,41.1,1.35,24,
2013-05-22,AES,9,41.6,0.44,18,bad weeds
2013-05-22,AES,10,38.5,0.58,16,"dark leaf tips, looks stressed"
2013-05-22,AES,11,45.2,1.02,25.5,
2013-05-22,AES,12,44.6,0.77,23.5,
2013-05-30,AES,1,15.6,2.14,44,
2013-05-30,AES,2,40.8,1.95,31,
2013-05-30,AES,3,43.7,1.67,31,
2013-05-30,AES,4,39.4,1.98,38,
2013-05-30,AES,5,42.4,1.14,28,
2013-05-30,AES,6,42.2,1.05,28,
2013-05-30,AES,7,41.6,0.88,21,
2013-05-30,AES,8,43.6,1.96,28,
2013-05-30,AES,9,45.9,1.38,27,
2013-05-30,AES,10,43.8,1.06,25,
2013-05-30,AES,11,46.9,1.34,32,
2013-05-30,AES,12,45.4,0.98,25,
2013-06-04,AES,1,46.5,1.71,,
2013-06-04,AES,2,46.8,2.26,,
2013-06-04,AES,3,41.1,1.58,,
2013-06-04,AES,4,52.4,1.36,,
2013-06-04,AES,5,52.3,1.3,,
2013-06-04,AES,6,43.4,1.78,,
2013-06-04,AES,7,44.7,0.88,,
2013-06-04,AES,8,44.1,1.24,,
2013-06-04,AES,9,46.8,1.19,,
2013-06-04,AES,10,42.6,1.02,,
2013-06-04,AES,11,45.8,1.8,,
2013-06-04,AES,12,43.2,2.21,,
2013-06-11,AES,1,48.9,2.09,57,
2013-06-11,AES,2,47.6,2.91,65,
2013-06-11,AES,3,45.2,2.12,45,
2013-06-11,AES,4,44.6,1.61,52,
2013-06-11,AES,5,45.9,2.85,52,
2013-06-11,AES,6,43.9,3,60,
2013-06-11,AES,7,51.7,1.82,55,
2013-06-11,AES,8,44.6,1.38,45,
2013-06-11,AES,9,49.9,1.33,55,
2013-06-11,AES,10,46.8,1.92,50,
2013-06-11,AES,11,48.7,2.92,57,
2013-06-11,AES,12,46.5,3.37,65,
2013-06-19,AES,1,42.2,2.28,83,
2013-06-19,AES,2,42.1,3.17,85,
2013-06-19,AES,3,42.9,2,65,
2013-06-19,AES,4,41.6,1.72,65,
2013-06-19,AES,5,47.5,2.87,75,
2013-06-19,AES,6,46.6,3.23,85,
2013-06-19,AES,7,43.8,2.09,77,
2013-06-19,AES,8,42.7,1.68,55,
2013-06-19,AES,9,44.3,2.08,70,
2013-06-19,AES,10,44.7,2.63,67,
2013-06-19,AES,11,49.1,3.18,83,
2013-06-19,AES,12,42.6,3.76,83,
2013-06-27,AES,1,50.7,2.23,87,
2013-06-27,AES,2,45.6,2.55,95,
2013-06-27,AES,3,49.8,1.48,82,
2013-06-27,AES,4,45.8,1.19,68,
2013-06-27,AES,5,49.2,2.23,88,
2013-06-27,AES,6,50,3.5,91,
2013-06-27,AES,7,52.9,2.53,87,
2013-06-27,AES,8,46.7,1.27,62,
2013-06-27,AES,9,48,2.75,75,
2013-06-27,AES,10,49.3,2.09,77,
2013-06-27,AES,11,47.3,2.08,93,
2013-06-27,AES,12,49,2.63,95,
2012-07-02,AES,1,51.4,1.91,80,
2012-07-02,AES,2,50.4,2.5,92,
2012-07-02,AES,3,50.5,2.49,86,
2012-07-02,AES,4,49.3,1.51,72,
2012-07-02,AES,5,50.8,3.17,77,
2012-07-02,AES,6,50,3.73,100,
2012-07-02,AES,7,51,2.33,89,
2012-07-02,AES,8,47.9,1.37,63,
2012-07-02,AES,9,53,2,85,10m South due to weeds
2012-07-02,AES,10,55.5,2.82,91,
2012-07-02,AES,11,57.7,3.02,102,
2012-07-02,AES,12,43.7,3.37,101,
2013-07-08,AES,1,53.5,1.45,85,
2013-07-08,AES,2,41.9,2.41,90,
2013-07-08,AES,3,51,1.82,79,
2013-07-08,AES,4,45.8,1.61,70,
2013-07-08,AES,5,49.6,3.08,95,
2013-07-08,AES,6,47.4,3.24,95,
2013-07-08,AES,7,44.8,2.4,84,
2013-07-08,AES,8,29.6,1.14,64,
2013-07-08,AES,9,47.1,2.52,78,
2013-07-08,AES,10,50.9,2.26,75,
2013-07-08,AES,11,55.2,2.56,102,
2013-07-08,AES,12,52.9,2.64,103,
2013-07-16,AES,1,22.7,1.38,83,
2013-07-16,AES,2,33,2.02,93,
2013-07-16,AES,3,45.6,3.05,91,
2013-07-16,AES,4,18.2,0.19,74,
2013-07-16,AES,5,47.2,3.07,97,
2013-07-16,AES,6,44.3,2.91,99,
2013-07-16,AES,7,37,2.3,87,
2013-07-16,AES,8,4,1.18,63,
2013-07-16,AES,9,23.5,2.14,83,
2013-07-16,AES,10,27.8,1.65,84,
2013-07-16,AES,11,38.2,2.3,102,
2013-07-16,AES,12,31,2.25,100,
2013-07-26,AES,1,3.6,1.95,89,
2013-07-26,AES,2,2.8,2.6,94,
2013-07-26,AES,3,17.4,1.37,73,
2013-07-26,AES,4,5.3,1.43,66,
2013-07-26,AES,5,21.8,2.75,92,
2013-07-26,AES,6,13,2.54,105,
2013-07-26,AES,7,4.1,1.6,90,
2013-07-26,AES,8,3.6,1.42,61,
2013-07-26,AES,9,9.8,1.21,80,
2013-07-26,AES,10,4.1,1.54,77,
2013-07-26,AES,11,2.3,1.83,103,
2013-07-26,AES,12,4.7,2.84,104,
2013-04-17,J,1,48.5,0.36,12,
2013-04-17,J,2,45.8,0.43,14,
2013-04-17,J,3,48.4,0.19,10,
2013-04-17,J,4,47.1,0.19,10,
2013-04-17,J,5,43.9,0.05,9,
2013-04-17,J,6,35.6,0.12,8,
2013-04-17,J,7,46.7,0.32,18,
2013-04-17,J,8,38.5,0.49,17,
2013-04-17,J,9,44.8,0.61,19,LAI might be high - dense rows here
2013-04-17,J,10,46.1,0.27,16,
2013-04-17,J,11,33.8,0.09,7,dry soil
2013-04-17,J,12,44.8,0.17,9,
2013-04-24,J,1,45.3,0.38,13,
2013-04-24,J,2,46.3,0.61,15,
2013-04-24,J,3,45.3,0.34,12,
2013-04-24,J,4,48.5,0.2,11,
2013-04-24,J,5,45.2,0.07,9,
2013-04-24,J,6,32.2,0.12,8,
2013-04-24,J,7,42.8,0.63,19,
2013-04-24,J,8,51.5,0.85,18,
2013-04-24,J,9,47.5,0.91,22,
2013-04-24,J,10,47.7,0.71,17,
2013-04-24,J,11,32.5,0.19,8,
2013-04-24,J,12,47.2,0.25,10,
2013-05-01,J,1,47.5,0.8,21,
2013-05-01,J,2,45.7,1.06,23,
2013-05-01,J,3,49,0.8,18,
2013-05-01,J,4,50.3,0.88,15,
2013-05-01,J,5,47.8,0.24,13,
2013-05-01,J,6,39.6,0.38,13,
2013-05-01,J,7,52.1,1.17,27,
2013-05-01,J,8,51.9,1.17,27,
2013-05-01,J,9,51.2,1.65,28,
2013-05-01,J,10,51.2,1.55,24,
2013-05-01,J,11,40.9,0.31,18,
2013-05-01,J,12,46.9,0.4,18,
2013-05-10,J,1,47.2,1.49,28,
2013-05-10,J,2,44.4,1.66,30,
2013-05-10,J,3,45.7,1.63,25,
2013-05-10,J,4,49.8,1.1,24,
2013-05-10,J,5,45.8,0.8,26,
2013-05-10,J,6,43,0.78,18,supes sparse
2013-05-10,J,7,51.6,1.88,29,
2013-05-10,J,8,46.5,2.44,38,
2013-05-10,J,9,47.7,1.89,38,  
2013-05-10,J,10,49.5,2.36,38,
2013-05-10,J,11,38.6,0.89,21,
2013-05-10,J,12,51.2,0.95,20,
2013-05-16,J,1,49.5,2.2,40,
2013-05-16,J,2,43.8,2.4,37,
2013-05-16,J,3,44,1.83,38,
2013-05-16,J,4,46.2,1.9,35,
2013-05-16,J,5,41.1,1.21,28,
2013-05-16,J,6,41.6,0.77,22,
2013-05-16,J,7,48.8,2.13,44,
2013-05-16,J,8,49.6,2.57,49,
2013-05-16,J,9,46.7,2.47,45,
2013-05-16,J,10,43.4,2.75,42,
2013-05-16,J,11,44.5,1.42,31,
2013-05-16,J,12,42,2.04,33,
2013-05-23,J,1,49.8,3.33,53,
2013-05-23,J,2,43.9,3.53,48,
2013-05-23,J,3,50.9,3.5,48.5,
2013-05-23,J,4,51.2,1.55,46,
2013-05-23,J,5,45.2,1.57,44,
2013-05-23,J,6,44.6,1.45,40.5,
2013-05-23,J,7,51.3,3.4,60,
2013-05-23,J,8,20.6,4.14,59,
2013-05-23,J,9,49.3,3.29,60,
2013-05-23,J,10,49.4,4.56,57,
2013-05-23,J,11,48.8,1.78,45,
2013-05-23,J,12,46.2,2.07,49.5,
2013-05-29,J,1,53.3,2.64,58,
2013-05-29,J,2,50.2,1.77,60.5,
2013-05-29,J,3,52.4,2.71,57,
2013-05-29,J,4,52.6,1.72,53,
2013-05-29,J,5,52.1,1.45,44.5,
2013-05-29,J,6,50.2,2.22,47,
2013-05-29,J,7,54.5,2.47,65,
2013-05-29,J,8,53.1,3.41,65,
2013-05-29,J,9,51.9,1.83,65,
2013-05-29,J,10,50.4,2.57,64,
2013-05-29,J,11,52.1,2.13,54,
2013-05-29,J,12,48.7,2.01,49,
2013-06-05,J,1,50.5,2.9,69.5,
2013-06-05,J,2,50.3,2.27,71.25,
2013-06-05,J,3,50.4,2.41,70,
2013-06-05,J,4,48.6,2.15,65,
2013-06-05,J,5,54.2,2,56.25,
2013-06-05,J,6,50.9,2.8,60,
2013-06-05,J,7,53.3,2.67,76,
2013-06-05,J,8,53.3,3.38,74.5,
2013-06-05,J,9,51,2.53,78,
2013-06-05,J,10,52.7,3.08,76.5,
2013-06-05,J,11,51.9,2.17,69,
2013-06-05,J,12,54.5,2.64,62,
2013-06-13,J,1,55,3.39,81,
2013-06-13,J,2,48.8,2.96,82,
2013-06-13,J,3,51.9,2.56,83,
2013-06-13,J,4,51.2,3.09,77,
2013-06-13,J,5,51.6,2.09,68,
2013-06-13,J,6,49.8,2.08,73,
2013-06-13,J,7,52.9,2.72,87,
2013-06-13,J,8,53.2,3.26,84,
2013-06-13,J,9,54,3.04,91,
2013-06-13,J,10,53.3,3.56,89,
2013-06-13,J,11,52.3,1.77,84,
2013-06-13,J,12,48.1,2.54,75,
2013-06-22,J,1,53.3,4.66,80,
2013-06-22,J,2,52.1,3.93,83,
2013-06-22,J,3,52.7,3.39,85,
2013-06-22,J,4,52.3,2.84,80,
2013-06-22,J,5,57.9,3,75,
2013-06-22,J,6,51.7,2.8,79,
2013-06-22,J,7,52,2.96,83,
2013-06-22,J,8,50.7,2.99,85,
2013-06-22,J,9,52,3.92,90,
2013-06-22,J,10,51.4,4.29,88,
2013-06-22,J,11,54,3.51,87,
2013-06-22,J,12,49.1,3.42,85,
2013-06-26,J,1,50.7,4.01,,
2013-06-26,J,2,48.9,3.79,,
2013-06-26,J,3,48.1,3.39,,
2013-06-26,J,4,48.3,3.6,,
2013-06-26,J,5,48.5,3.04,,
2013-06-26,J,6,50.4,2.45,,
2013-06-26,J,7,52.5,4.21,,
2013-06-26,J,8,51.9,4.38,,
2013-06-26,J,9,50.5,3.88,,
2013-06-26,J,10,44.5,4.5,,
2013-06-26,J,11,50.5,3.14,,
2013-06-26,J,12,44.1,3.06,,
2013-07-01,J,1,51.3,3.36,87,sunny; low LAI
2013-07-01,J,2,47.8,2.94,83,
2013-07-01,J,3,49,3.39,85,
2013-07-01,J,4,53.9,3.31,86,
2013-07-01,J,5,53.1,2.78,80,
2013-07-01,J,6,51,2.06,80,
2013-07-01,J,7,53.2,3.02,87,
2013-07-01,J,8,51.6,3.24,86,
2013-07-01,J,9,51.1,3.63,92,
2013-07-01,J,10,51.7,3.77,91,
2013-07-01,J,11,52.7,2.86,83,
2013-07-01,J,12,45,3.29,84,
2013-07-08,J,1,51.5,3.68,84,
2013-07-08,J,2,37.7,2.95,81,
2013-07-08,J,3,50.5,2.96,84,
2013-07-08,J,4,52.4,2.45,85,
2013-07-08,J,5,52.6,2.16,75,
2013-07-08,J,6,51.1,2.47,72,
2013-07-08,J,7,39.5,3.14,84,
2013-07-08,J,8,43.3,3.93,82,
2013-07-08,J,9,40.4,3.27,88,
2013-07-08,J,10,50.4,3.73,86,
2013-07-08,J,11,55.7,3.04,80,
2013-07-08,J,12,41.7,2.91,80,
2013-07-15,J,1,31.6,3.58,91,
2013-07-15,J,2,9.1,1.67,87,
2013-07-15,J,3,32.8,2.61,87,
2013-07-15,J,4,23.9,2.33,86,
2013-07-15,J,5,29,1.46,82,
2013-07-15,J,6,41.6,2.88,82,
2013-07-15,J,7,11.3,2.72,87,
2013-07-15,J,8,4.7,2.47,90,
2013-07-15,J,9,10.2,2.63,94,
2013-07-15,J,10,16.7,3,94,
2013-07-15,J,11,33.3,2.36,85,
2013-07-15,J,12,11.9,2.85,86,
2012-07-23,J,1,2.9,2.69,92,
2012-07-23,J,2,4.8,2.42,83,
2012-07-23,J,3,5.6,1.65,85,
2012-07-23,J,4,5.4,1.96,84,
2012-07-23,J,5,3.6,1.58,81,
2012-07-23,J,6,8.2,2.02,84,
2012-07-23,J,7,4.8,2.47,90,
2012-07-23,J,8,5.6,2.35,85,
2012-07-23,J,9,4.5,2.92,93,
